id,sourceId,date,category,amount,status,description
1,INV-2025-001,2025-10-11,Servicios,1666.00,cancelado,"Prestación de servicio"
2,INV-2025-002,2025-01-03,Inventario,680.00,activo,"Compra de stock"
3,INV-2025-003,2025-07-24,Gastos,1974.00,activo,"Pago de gasto operativo"
4,INV-2025-004,2025-09-09,Servicios,339.00,pendiente,"Prestación de servicio"
5,INV-2025-005,2025-03-21,Gastos,4542.00,cancelado,"Pago de gasto operativo"
6,INV-2025-006,2025-04-13,Inventario,4287.00,completado,"Compra de stock"
7,INV-2025-007,2025-10-19,Inventario,422.00,activo,"Compra de stock"
8,INV-2025-008,2025-11-24,Ventas,1928.00,activo,"Venta de producto comercial"
9,INV-2025-009,2025-08-10,Servicios,3033.00,pendiente,"Prestación de servicio"
10,INV-2025-010,2025-01-21,Ventas,4533.00,activo,"Venta de producto comercial"
11,INV-2025-011,2025-07-30,Ventas,489.00,completado,"Venta de producto comercial"
12,INV-2025-012,2025-07-24,Servicios,693.00,activo,"Prestación de servicio"
13,INV-2025-013,2025-04-03,Servicios,2196.00,pendiente,"Prestación de servicio"
14,INV-2025-014,2025-09-13,Inventario,1297.00,completado,"Compra de stock"
15,INV-2025-015,2025-02-21,Servicios,1438.00,pendiente,"Prestación de servicio"
16,INV-2025-016,2025-07-23,Servicios,1489.00,cancelado,"Prestación de servicio"
17,INV-2025-017,2025-01-05,Gastos,2831.00,activo,"Pago de gasto operativo"
18,INV-2025-018,2025-02-16,Inventario,1243.00,completado,"Compra de stock"
19,INV-2025-019,2025-05-01,Inventario,591.00,pendiente,"Compra de stock"
20,INV-2025-020,2025-05-25,Servicios,377.00,pendiente,"Prestación de servicio"
21,INV-2025-021,2025-07-13,Servicios,4333.00,activo,"Prestación de servicio"
22,INV-2025-022,2025-09-06,Gastos,1694.00,pendiente,"Pago de gasto operativo"
23,INV-2025-023,2025-03-24,Ventas,2147.00,cancelado,"Venta de producto comercial"
24,INV-2025-024,2025-05-15,Ventas,3669.00,completado,"Venta de producto comercial"
25,INV-2025-025,2025-11-28,Inventario,4002.00,activo,"Compra de stock"
26,INV-2025-026,2025-02-16,Inventario,2665.00,pendiente,"Compra de stock"
27,INV-2025-027,2025-10-10,Inventario,4571.00,pendiente,"Compra de stock"
28,INV-2025-028,2025-08-16,Gastos,2053.00,activo,"Pago de gasto operativo"
29,INV-2025-029,2025-06-28,Servicios,1951.00,cancelado,"Prestación de servicio"
30,INV-2025-030,2025-09-14,Inventario,2953.00,completado,"Compra de stock"
31,INV-2025-031,2025-09-10,Inventario,3782.00,activo,"Compra de stock"
32,INV-2025-032,2025-01-29,Inventario,1396.00,activo,"Compra de stock"
